reference,year,country_name,hdi_category,indicator_name,values
,,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,113
,,Mongolia,MEDIUM HUMAN DEVELOPMENT,HDI rank,114
,,Honduras,MEDIUM HUMAN DEVELOPMENT,HDI rank,115
,,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,HDI rank,116
,,Bolivia,MEDIUM HUMAN DEVELOPMENT,HDI rank,117
,,Guatemala,MEDIUM HUMAN DEVELOPMENT,HDI rank,118
,,Gabon,MEDIUM HUMAN DEVELOPMENT,HDI rank,119
,,Vanuatu,MEDIUM HUMAN DEVELOPMENT,HDI rank,120
,,South Africa,MEDIUM HUMAN DEVELOPMENT,HDI rank,121
,,Tajikistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,122
,,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,HDI rank,123
,,Botswana,MEDIUM HUMAN DEVELOPMENT,HDI rank,124
,,Namibia,MEDIUM HUMAN DEVELOPMENT,HDI rank,125
,,Morocco,MEDIUM HUMAN DEVELOPMENT,HDI rank,126
,,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,HDI rank,127
,,India,MEDIUM HUMAN DEVELOPMENT,HDI rank,128
,,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,HDI rank,129
,,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,HDI rank,130
,,Cambodia,MEDIUM HUMAN DEVELOPMENT,HDI rank,131
,,Myanmar,MEDIUM HUMAN DEVELOPMENT,HDI rank,132
,,Bhutan,MEDIUM HUMAN DEVELOPMENT,HDI rank,133
,,Comoros,MEDIUM HUMAN DEVELOPMENT,HDI rank,134
,,Ghana,MEDIUM HUMAN DEVELOPMENT,HDI rank,135
,,Pakistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,136
,,Mauritania,MEDIUM HUMAN DEVELOPMENT,HDI rank,137
,,Lesotho,MEDIUM HUMAN DEVELOPMENT,HDI rank,138
,,Congo,MEDIUM HUMAN DEVELOPMENT,HDI rank,139
,,Bangladesh,MEDIUM HUMAN DEVELOPMENT,HDI rank,140
,,Swaziland,MEDIUM HUMAN DEVELOPMENT,HDI rank,141
,,Nepal,MEDIUM HUMAN DEVELOPMENT,HDI rank,142
,,Madagascar,MEDIUM HUMAN DEVELOPMENT,HDI rank,143
,,Cameroon,MEDIUM HUMAN DEVELOPMENT,HDI rank,144
,,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,HDI rank,145
,,Haiti,MEDIUM HUMAN DEVELOPMENT,HDI rank,146
,,Sudan,MEDIUM HUMAN DEVELOPMENT,HDI rank,147
,,Kenya,MEDIUM HUMAN DEVELOPMENT,HDI rank,148
,,Djibouti,MEDIUM HUMAN DEVELOPMENT,HDI rank,149
,,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,HDI rank,150
,,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,HDI rank,151
,,Togo,MEDIUM HUMAN DEVELOPMENT,HDI rank,152
,,Yemen,MEDIUM HUMAN DEVELOPMENT,HDI rank,153
,,Uganda,MEDIUM HUMAN DEVELOPMENT,HDI rank,154
,,Gambia,MEDIUM HUMAN DEVELOPMENT,HDI rank,155
,,Senegal,LOW HUMAN DEVELOPMENT,HDI rank,156
,,Eritrea,LOW HUMAN DEVELOPMENT,HDI rank,157
,,Nigeria,LOW HUMAN DEVELOPMENT,HDI rank,158
,,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,HDI rank,159
,,Guinea,LOW HUMAN DEVELOPMENT,HDI rank,160
,,Rwanda,LOW HUMAN DEVELOPMENT,HDI rank,161
,,Angola,LOW HUMAN DEVELOPMENT,HDI rank,162
,,Benin,LOW HUMAN DEVELOPMENT,HDI rank,163
,,Malawi,LOW HUMAN DEVELOPMENT,HDI rank,164
,,Zambia,LOW HUMAN DEVELOPMENT,HDI rank,165
,,Côte d'Ivoire,LOW HUMAN DEVELOPMENT,HDI rank,166
,,Burundi,LOW HUMAN DEVELOPMENT,HDI rank,167
,,Congo (Democratic Republic of the),LOW HUMAN DEVELOPMENT,HDI rank,168
,,Ethiopia,LOW HUMAN DEVELOPMENT,HDI rank,169
,,Chad,,HDI rank,170
,,Central African Republic,,HDI rank,171
,,Mozambique,,HDI rank,172
,,Mali,,HDI rank,173
,,Niger,,HDI rank,174
,,Guinea-Bissau,,HDI rank,175
,,Burkina Faso,,HDI rank,176
,,Sierra Leone,,HDI rank,177
,,Iceland,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.2 [0.1–0.3]
,,Norway,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–0.2]
,,Australia,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [<0.2]
,,Canada,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.3 [0.2–0.5]
,,Ireland,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.2 [0.1–0.4]
,,Sweden,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.2 [0.1–0.3]
,,Switzerland,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.4 [0.3–0.8]
,,Japan,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Netherlands,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.2 [0.1–0.4]
,,France,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.4 [0.3–0.8]
,,Finland,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [<0.2]
,,United States,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.6 [0.4–1.0]
,,Spain,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.6 [0.4–1.0]
,,Denmark,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.2 [0.1–0.4]
,,Austria,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.3 [0.2–0.5]
,,United Kingdom,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.2 [0.1–0.4]
,,Belgium,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.3 [0.2–0.5]
,,Luxembourg,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.2 [0.1–0.4]
,,New Zealand,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [<0.2]
,,Italy,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.5 [0.3–0.9]
,,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,Germany,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–0.2]
,,Israel,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Greece,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.2 [0.1–0.3]
,,Singapore,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.3 [0.2–0.7]
,,Korea (Republic of),HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Slovenia,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Cyprus,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Portugal,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.4 [0.3–0.9]
,,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Barbados,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.5 [0.8–2.5]
,,Czech Republic,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [<0.2]
,,Kuwait,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Malta,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–0.2]
,,Qatar,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Hungary,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [<0.2]
,,Poland,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–0.2]
,,Argentina,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.6 [0.3–1.9]
,,United Arab Emirates,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Chile,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.3 [0.2–1.2]
,,Bahrain,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Slovakia,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Lithuania,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.2 [0.1–0.6]
,,Estonia,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.3 [0.6–4.3]
,,Latvia,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.8 [0.5–1.3]
,,Uruguay,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.5 [0.2–6.1]
,,Croatia,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Costa Rica,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.3 [0.1–3.6]
,,Bahamas,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,3.3 [1.3–4.5]
,,Seychelles,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,Cuba,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [<0.2]
,,Mexico,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.3 [0.2–0.7]
,,Bulgaria,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,Tonga,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,Oman,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,2.6 [1.4–4.2]
,,Romania,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Saudi Arabia,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Panama,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.9 [0.5–3.7]
,,Malaysia,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.5 [0.2–1.5]
,,Belarus,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.3 [0.2–0.8]
,,Mauritius,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.6 [0.3–1.8]
,,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Russian Federation,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.1 [0.7–1.8]
,,Albania,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Brazil,HIGH HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.5 [0.3–1.6]
,,Dominica,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–3.2]
,,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.7 [0.3–8.9]
,,Colombia,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.6 [0.3–2.5]
,,Ukraine,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.4 [0.8–4.3]
,,Samoa,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,Thailand,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.4 [0.7–2.1]
,,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.1 [0.9–1.3]
,,Belize,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,2.5 [1.4–4.0]
,,China,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [<0.2]
,,Grenada,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,Armenia,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–0.6]
,,Turkey,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Suriname,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.9 [1.1–3.1]
,,Jordan,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Peru,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.6 [0.3–1.7]
,,Lebanon,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–0.5]
,,Ecuador,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.3 [0.1–3.5]
,,Philippines,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Tunisia,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–0.3]
,,Fiji,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–0.4]
,,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.2 [0.1–0.4]
,,Paraguay,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.4 [0.2–4.6]
,,Georgia,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.2 [0.1–2.7]
,,Guyana,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,2.4 [1.0–4.9]
,,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–0.4]
,,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Maldives,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Jamaica,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.5 [0.8–2.4]
,,Cape Verde,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,El Salvador,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.9 [0.5–3.8]
,,Algeria,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1  [<0.2]
,,Viet Nam,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.5 [0.3–0.9]
,,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,Indonesia,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–0.2]
,,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,  [<0.2]
,,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Nicaragua,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.2 [0.1–0.6]
,,Moldova,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.1 [0.6–2.6]
,,Egypt,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.2 [0.1–0.7]
,,Mongolia,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,<0.1 [<0.2]
,,Honduras,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,1.5 [0.8–2.4]
,,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–1.7]
,,Bolivia,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–0.3]
,,Guatemala,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.9 [0.5–2.7]
,,Gabon,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,7.9 [5.1–11.5]
,,Vanuatu,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,South Africa,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,18.8 [16.8–20.7]
,,Tajikistan,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–1.7]
,,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,.. 
,,Botswana,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,24.1 [23.0–32.0]
,,Namibia,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,19.6 [8.6–31.7]
,,Morocco,MEDIUM HUMAN DEVELOPMENT,HIV prevalencea (% aged 15-49) 2006,0.1 [0.1–0.4]
